epoch,accuracy,categorical_crossentropy,loss,lr,val_accuracy,val_categorical_crossentropy,val_loss
0,0.44999998807907104,0.6866647601127625,0.6866647601127625,0.001,0.699999988079071,0.5872553586959839,0.5872553586959839
0,0.550000011920929,0.6860643625259399,0.6860643625259399,0.001,0.75,0.6003587245941162,0.6003587245941162
1,0.949999988079071,0.4406108856201172,0.4406108856201172,0.001,0.800000011920929,0.48652395606040955,0.48652395606040955
2,1.0,0.21033737063407898,0.21033737063407898,0.001,0.6000000238418579,0.7552010416984558,0.7552010416984558
3,1.0,0.09690879285335541,0.09690879285335541,0.001,0.8500000238418579,0.3642813563346863,0.3642813563346863
4,1.0,0.022120391950011253,0.022120391950011253,0.001,0.8999999761581421,0.3654334843158722,0.3654334843158722
5,1.0,0.0052009690552949905,0.0052009690552949905,0.001,0.8999999761581421,0.4777858257293701,0.4777858257293701
6,1.0,0.0010026739910244942,0.0010026739910244942,0.001,0.8999999761581421,0.6762101054191589,0.6762101054191589
7,1.0,3.2421867217635736e-05,3.2421867217635736e-05,0.001,0.800000011920929,0.9201719164848328,0.9201719164848328
8,1.0,1.873266046459321e-05,1.873266046459321e-05,0.001,0.800000011920929,1.1963822841644287,1.1963822841644287
9,1.0,3.218646611458098e-07,3.218646611458098e-07,0.001,0.800000011920929,1.496401309967041,1.496401309967041
10,1.0,7.15255410455029e-08,7.15255410455029e-08,0.001,0.800000011920929,1.8106968402862549,1.8106968402862549
11,1.0,5.960464122267695e-09,5.960464122267695e-09,0.001,0.800000011920929,2.130549669265747,2.130549669265747
12,1.0,5.960464122267695e-09,5.960464122267695e-09,0.001,0.800000011920929,2.4492905139923096,2.4492905139923096
13,1.0,0.0,0.0,0.001,0.800000011920929,2.763028860092163,2.763028860092163
14,1.0,0.0,0.0,0.001,0.800000011920929,3.068524122238159,3.068524122238159
15,1.0,0.0,0.0,0.001,0.800000011920929,3.363801956176758,3.363801956176758
16,1.0,0.0,0.0,0.001,0.800000011920929,3.6475138664245605,3.6475138664245605
17,1.0,0.0,0.0,0.001,0.800000011920929,3.918633222579956,3.918633222579956
18,1.0,0.0,0.0,0.001,0.800000011920929,4.176903247833252,4.176903247833252
19,1.0,0.0,0.0,0.001,0.800000011920929,4.421902656555176,4.421902656555176
20,1.0,0.0,0.0,0.001,0.800000011920929,4.653508186340332,4.653508186340332
21,1.0,0.0,0.0,0.001,0.75,4.872016906738281,4.872016906738281
22,1.0,0.0,0.0,0.001,0.75,5.077432155609131,5.077432155609131
23,1.0,0.0,0.0,0.001,0.75,5.2700514793396,5.2700514793396
24,1.0,0.0,0.0,0.001,0.75,5.450200080871582,5.450200080871582
25,1.0,0.0,0.0,0.001,0.75,5.6182146072387695,5.6182146072387695
26,1.0,0.0,0.0,0.001,0.75,5.774547576904297,5.774547576904297
27,1.0,0.0,0.0,0.001,0.75,5.920176029205322,5.920176029205322
28,1.0,0.0,0.0,0.001,0.75,6.054960250854492,6.054960250854492
29,1.0,0.0,0.0,0.001,0.75,6.179907321929932,6.179907321929932
30,1.0,0.0,0.0,0.001,0.75,6.295138359069824,6.295138359069824
31,1.0,0.0,0.0,0.001,0.75,6.401645660400391,6.401645660400391
32,1.0,0.0,0.0,0.001,0.75,6.49966287612915,6.49966287612915
33,1.0,0.0,0.0,0.001,0.75,6.590207099914551,6.590207099914551
34,1.0,0.0,0.0,0.001,0.75,6.673292636871338,6.673292636871338
35,1.0,0.0,0.0,0.001,0.75,6.749594211578369,6.749594211578369
36,1.0,0.0,0.0,0.001,0.75,6.819793701171875,6.819793701171875
37,1.0,0.0,0.0,0.001,0.75,6.884072780609131,6.884072780609131
38,1.0,0.0,0.0,0.001,0.75,6.942991733551025,6.942991733551025
39,1.0,0.0,0.0,0.001,0.75,6.996991157531738,6.996991157531738
40,1.0,0.0,0.0,0.001,0.75,7.046452522277832,7.046452522277832
41,1.0,0.0,0.0,0.001,0.75,7.091513156890869,7.091513156890869
42,1.0,0.0,0.0,0.001,0.75,7.132750034332275,7.132750034332275
43,1.0,0.0,0.0,0.001,0.75,7.170572757720947,7.170572757720947
44,1.0,0.0,0.0,0.001,0.75,7.204992771148682,7.204992771148682
45,1.0,0.0,0.0,0.001,0.75,7.236296653747559,7.236296653747559
46,1.0,0.0,0.0,0.001,0.75,7.265122413635254,7.265122413635254
47,1.0,0.0,0.0,0.001,0.75,7.291167259216309,7.291167259216309
48,1.0,0.0,0.0,0.001,0.75,7.315159797668457,7.315159797668457
49,1.0,0.0,0.0,0.001,0.75,7.336932182312012,7.336932182312012
