epoch,accuracy,categorical_crossentropy,loss,lr,val_accuracy,val_categorical_crossentropy,val_loss
0,0.2916666567325592,1.5023508071899414,1.5023508071899414,0.001,0.2954545319080353,1.3839787244796753,1.3839787244796753
1,0.625,1.0265918970108032,1.0265918970108032,0.001,0.2954545319080353,1.3853482007980347,1.3853482007980347
2,0.7916666865348816,0.6854459643363953,0.6854459643363953,0.001,0.2954545319080353,1.386205792427063,1.386205792427063
3,0.9583333134651184,0.4694810211658478,0.4694810211658478,0.001,0.2954545319080353,1.3863821029663086,1.3863821029663086
4,1.0,0.34148964285850525,0.34148964285850525,0.001,0.2954545319080353,1.3866435289382935,1.3866435289382935
5,1.0,0.2535001337528229,0.2535001337528229,0.001,0.375,1.3865677118301392,1.3865677118301392
6,1.0,0.19176121056079865,0.19176121056079865,0.001,0.3863636255264282,1.3862507343292236,1.3862507343292236
7,1.0,0.1476374864578247,0.1476374864578247,0.001,0.4545454680919647,1.3860270977020264,1.3860270977020264
8,1.0,0.11341961473226547,0.11341961473226547,0.001,0.25,1.3860723972320557,1.3860723972320557
9,1.0,0.08786135911941528,0.08786135911941528,0.001,0.25,1.3862446546554565,1.3862446546554565
10,1.0,0.06846495717763901,0.06846495717763901,0.001,0.25,1.3865793943405151,1.3865793943405151
11,1.0,0.0533284991979599,0.0533284991979599,0.001,0.25,1.3872205018997192,1.3872205018997192
12,1.0,0.04306855797767639,0.04306855797767639,0.001,0.25,1.3882460594177246,1.3882460594177246
13,1.0,0.03437456488609314,0.03437456488609314,0.001,0.25,1.3895825147628784,1.3895825147628784
14,1.0,0.028329556807875633,0.028329556807875633,0.001,0.25,1.391152024269104,1.391152024269104
15,1.0,0.023591989651322365,0.023591989651322365,0.001,0.25,1.3929321765899658,1.3929321765899658
16,1.0,0.019529713317751884,0.019529713317751884,0.001,0.25,1.3949710130691528,1.3949710130691528
17,1.0,0.01656023971736431,0.01656023971736431,0.001,0.23863635957241058,1.3972994089126587,1.3972994089126587
18,1.0,0.014393378980457783,0.014393378980457783,0.001,0.23863635957241058,1.3999508619308472,1.3999508619308472
19,1.0,0.012423743493855,0.012423743493855,0.001,0.2613636255264282,1.4028854370117188,1.4028854370117188
20,1.0,0.010690971277654171,0.010690971277654171,0.001,0.2613636255264282,1.4060615301132202,1.4060615301132202
21,1.0,0.009376086294651031,0.009376086294651031,0.001,0.21590909361839294,1.4094882011413574,1.4094882011413574
22,1.0,0.008319973014295101,0.008319973014295101,0.001,0.15909090638160706,1.4132542610168457,1.4132542610168457
23,1.0,0.0073771304450929165,0.0073771304450929165,0.001,0.15909090638160706,1.4174121618270874,1.4174121618270874
24,1.0,0.0065407888032495975,0.0065407888032495975,0.001,0.15909090638160706,1.4219697713851929,1.4219697713851929
25,1.0,0.005835919175297022,0.005835919175297022,0.001,0.15909090638160706,1.426901936531067,1.426901936531067
26,1.0,0.005259193480014801,0.005259193480014801,0.001,0.15909090638160706,1.432169795036316,1.432169795036316
27,1.0,0.004768532235175371,0.004768532235175371,0.001,0.15909090638160706,1.4377219676971436,1.4377219676971436
28,1.0,0.004331482108682394,0.004331482108682394,0.001,0.15909090638160706,1.4434734582901,1.4434734582901
29,1.0,0.003949951846152544,0.003949951846152544,0.001,0.15909090638160706,1.4494273662567139,1.4494273662567139
30,1.0,0.0036184287164360285,0.0036184287164360285,0.001,0.15909090638160706,1.4555344581604004,1.4555344581604004
31,1.0,0.0033283603843301535,0.0033283603843301535,0.001,0.15909090638160706,1.4618076086044312,1.4618076086044312
32,1.0,0.003074106527492404,0.003074106527492404,0.001,0.15909090638160706,1.468275547027588,1.468275547027588
33,1.0,0.0028539535123854876,0.0028539535123854876,0.001,0.15909090638160706,1.4749013185501099,1.4749013185501099
34,1.0,0.002663825871422887,0.002663825871422887,0.001,0.15909090638160706,1.4816551208496094,1.4816551208496094
35,1.0,0.002492941217496991,0.002492941217496991,0.001,0.15909090638160706,1.488468885421753,1.488468885421753
36,1.0,0.0023336203303188086,0.0023336203303188086,0.001,0.15909090638160706,1.4953967332839966,1.4953967332839966
37,1.0,0.002186008496209979,0.002186008496209979,0.001,0.15909090638160706,1.5023865699768066,1.5023865699768066
38,1.0,0.0020521804690361023,0.0020521804690361023,0.001,0.15909090638160706,1.5094218254089355,1.5094218254089355
39,1.0,0.001934134983457625,0.001934134983457625,0.001,0.15909090638160706,1.5165330171585083,1.5165330171585083
40,1.0,0.001833095564506948,0.001833095564506948,0.001,0.15909090638160706,1.5238137245178223,1.5238137245178223
41,1.0,0.0017438088543713093,0.0017438088543713093,0.001,0.15909090638160706,1.531173586845398,1.531173586845398
42,1.0,0.001664582989178598,0.001664582989178598,0.001,0.15909090638160706,1.5386439561843872,1.5386439561843872
43,1.0,0.001592188491486013,0.001592188491486013,0.001,0.15909090638160706,1.5461903810501099,1.5461903810501099
44,1.0,0.0015239237109199166,0.0015239237109199166,0.001,0.15909090638160706,1.5537258386611938,1.5537258386611938
45,1.0,0.0014594468520954251,0.0014594468520954251,0.001,0.15909090638160706,1.5612014532089233,1.5612014532089233
46,1.0,0.0013972014421597123,0.0013972014421597123,0.001,0.15909090638160706,1.5686253309249878,1.5686253309249878
47,1.0,0.0013399409363046288,0.0013399409363046288,0.001,0.15909090638160706,1.5760449171066284,1.5760449171066284
48,1.0,0.0012877949047833681,0.0012877949047833681,0.001,0.15909090638160706,1.5834850072860718,1.5834850072860718
49,1.0,0.001239862060174346,0.001239862060174346,0.001,0.15909090638160706,1.5909732580184937,1.5909732580184937
50,1.0,0.0011960141127929091,0.0011960141127929091,0.001,0.15909090638160706,1.598543643951416,1.598543643951416
51,1.0,0.0011543416185304523,0.0011543416185304523,0.0005,0.15909090638160706,1.6058659553527832,1.6058659553527832
52,1.0,0.001134330639615655,0.001134330639615655,0.0005,0.15909090638160706,1.6132603883743286,1.6132603883743286
53,1.0,0.001115450169891119,0.001115450169891119,0.0005,0.15909090638160706,1.620697021484375,1.620697021484375
54,1.0,0.0010970205767080188,0.0010970205767080188,0.0005,0.15909090638160706,1.6282156705856323,1.6282156705856323
55,1.0,0.0010799054289236665,0.0010799054289236665,0.0005,0.15909090638160706,1.6357651948928833,1.6357651948928833
56,1.0,0.0010629685129970312,0.0010629685129970312,0.0005,0.15909090638160706,1.6432818174362183,1.6432818174362183
57,1.0,0.0010475098388269544,0.0010475098388269544,0.0005,0.15909090638160706,1.6508938074111938,1.6508938074111938
58,1.0,0.001031990977935493,0.001031990977935493,0.0005,0.15909090638160706,1.6585242748260498,1.6585242748260498
59,1.0,0.0010170276509597898,0.0010170276509597898,0.0005,0.15909090638160706,1.666096806526184,1.666096806526184
60,1.0,0.0010026989039033651,0.0010026989039033651,0.0005,0.15909090638160706,1.6736866235733032,1.6736866235733032
61,1.0,0.0009886875050142407,0.0009886875050142407,0.0005,0.15909090638160706,1.6813292503356934,1.6813292503356934
62,1.0,0.0009752462501637638,0.0009752462501637638,0.0005,0.15909090638160706,1.6889835596084595,1.6889835596084595
63,1.0,0.0009623258374631405,0.0009623258374631405,0.0005,0.15909090638160706,1.6967225074768066,1.6967225074768066
64,1.0,0.0009499707375653088,0.0009499707375653088,0.0005,0.15909090638160706,1.7044802904129028,1.7044802904129028
65,1.0,0.0009377743117511272,0.0009377743117511272,0.0005,0.15909090638160706,1.7122448682785034,1.7122448682785034
66,1.0,0.0009263963438570499,0.0009263963438570499,0.0005,0.15909090638160706,1.7199997901916504,1.7199997901916504
67,1.0,0.000914775300770998,0.000914775300770998,0.0005,0.15909090638160706,1.7277934551239014,1.7277934551239014
68,1.0,0.0009038387797772884,0.0009038387797772884,0.0005,0.15909090638160706,1.7356879711151123,1.7356879711151123
69,1.0,0.0008929169271141291,0.0008929169271141291,0.0005,0.15909090638160706,1.7436034679412842,1.7436034679412842
70,1.0,0.000882650027051568,0.000882650027051568,0.0005,0.15909090638160706,1.7514671087265015,1.7514671087265015
71,1.0,0.000872437609359622,0.000872437609359622,0.0005,0.15909090638160706,1.7593318223953247,1.7593318223953247
72,1.0,0.0008626121561974287,0.0008626121561974287,0.0005,0.15909090638160706,1.7670409679412842,1.7670409679412842
73,1.0,0.0008526328019797802,0.0008526328019797802,0.0005,0.15909090638160706,1.7748565673828125,1.7748565673828125
74,1.0,0.0008428171277046204,0.0008428171277046204,0.0005,0.15909090638160706,1.7826517820358276,1.7826517820358276
75,1.0,0.0008336811442859471,0.0008336811442859471,0.0005,0.15909090638160706,1.7903929948806763,1.7903929948806763
76,1.0,0.0008245452190749347,0.0008245452190749347,0.0005,0.15909090638160706,1.7981144189834595,1.7981144189834595
77,1.0,0.0008155828691087663,0.0008155828691087663,0.0005,0.15909090638160706,1.8057609796524048,1.8057609796524048
78,1.0,0.0008070771000348032,0.0008070771000348032,0.0005,0.15909090638160706,1.813576102256775,1.813576102256775
79,1.0,0.0007984223775565624,0.0007984223775565624,0.0005,0.15909090638160706,1.8212165832519531,1.8212165832519531
80,1.0,0.0007902043871581554,0.0007902043871581554,0.0005,0.15909090638160706,1.8289546966552734,1.8289546966552734
81,1.0,0.0007817181758582592,0.0007817181758582592,0.0005,0.15909090638160706,1.836643099784851,1.836643099784851
82,1.0,0.0007737530977465212,0.0007737530977465212,0.0005,0.15909090638160706,1.844443440437317,1.844443440437317
83,1.0,0.0007657431997358799,0.0007657431997358799,0.0005,0.15909090638160706,1.852146863937378,1.852146863937378
84,1.0,0.0007579813245683908,0.0007579813245683908,0.0005,0.15909090638160706,1.8598110675811768,1.8598110675811768
85,1.0,0.000750323582906276,0.000750323582906276,0.0005,0.15909090638160706,1.8675013780593872,1.8675013780593872
86,1.0,0.0007425963412970304,0.0007425963412970304,0.0005,0.15909090638160706,1.8750849962234497,1.8750849962234497
87,1.0,0.0007354843546636403,0.0007354843546636403,0.0005,0.15909090638160706,1.8825478553771973,1.8825478553771973
88,1.0,0.0007281440193764865,0.0007281440193764865,0.0005,0.15909090638160706,1.8900302648544312,1.8900302648544312
89,1.0,0.0007209922187030315,0.0007209922187030315,0.0005,0.15909090638160706,1.8974858522415161,1.8974858522415161
90,1.0,0.0007139694062061608,0.0007139694062061608,0.0005,0.15909090638160706,1.9049426317214966,1.9049426317214966
91,1.0,0.0007071748259477317,0.0007071748259477317,0.0005,0.15909090638160706,1.9123677015304565,1.9123677015304565
92,1.0,0.0007002760539762676,0.0007002760539762676,0.0005,0.15909090638160706,1.9198055267333984,1.9198055267333984
93,1.0,0.0006936104036867619,0.0006936104036867619,0.0005,0.15909090638160706,1.9271297454833984,1.9271297454833984
