epoch,accuracy,categorical_crossentropy,loss,lr,val_accuracy,val_categorical_crossentropy,val_loss
0,0.06499999761581421,2.8099541664123535,2.8099541664123535,0.001,0.1468292623758316,2.637590169906616,2.637590169906616
1,0.14000000059604645,2.4256393909454346,2.4256393909454346,0.001,0.1746341437101364,2.6365127563476562,2.6365127563476562
2,0.23499999940395355,2.2228505611419678,2.2228505611419678,0.001,0.2521951198577881,2.635085105895996,2.635085105895996
3,0.38499999046325684,2.0934054851531982,2.0934054851531982,0.001,0.24195121228694916,2.633357286453247,2.633357286453247
4,0.4449999928474426,1.997704029083252,1.997704029083252,0.001,0.1468292623758316,2.631359338760376,2.631359338760376
5,0.4650000035762787,1.9181960821151733,1.9181960821151733,0.001,0.14341463148593903,2.6290881633758545,2.6290881633758545
6,0.47999998927116394,1.847747802734375,1.847747802734375,0.001,0.14341463148593903,2.6265974044799805,2.6265974044799805
7,0.5350000262260437,1.782447099685669,1.782447099685669,0.001,0.14341463148593903,2.6239304542541504,2.6239304542541504
8,0.5550000071525574,1.7238584756851196,1.7238584756851196,0.001,0.14341463148593903,2.6211540699005127,2.6211540699005127
9,0.5899999737739563,1.6721359491348267,1.6721359491348267,0.001,0.14341463148593903,2.6183581352233887,2.6183581352233887
10,0.625,1.6258524656295776,1.6258524656295776,0.001,0.14341463148593903,2.615619659423828,2.615619659423828
11,0.6449999809265137,1.5831984281539917,1.5831984281539917,0.001,0.14341463148593903,2.612978219985962,2.612978219985962
12,0.6549999713897705,1.543654203414917,1.543654203414917,0.001,0.14341463148593903,2.6104607582092285,2.6104607582092285
13,0.6650000214576721,1.5057165622711182,1.5057165622711182,0.001,0.14341463148593903,2.608100414276123,2.608100414276123
14,0.6899999976158142,1.4692001342773438,1.4692001342773438,0.001,0.14341463148593903,2.6059367656707764,2.6059367656707764
15,0.7099999785423279,1.4348982572555542,1.4348982572555542,0.001,0.14341463148593903,2.6039607524871826,2.6039607524871826
16,0.7099999785423279,1.4023398160934448,1.4023398160934448,0.001,0.14341463148593903,2.602156400680542,2.602156400680542
17,0.7250000238418579,1.3705182075500488,1.3705182075500488,0.001,0.14341463148593903,2.600497007369995,2.600497007369995
18,0.7450000047683716,1.338783860206604,1.338783860206604,0.001,0.14341463148593903,2.598970413208008,2.598970413208008
19,0.75,1.307442307472229,1.307442307472229,0.001,0.14341463148593903,2.597607135772705,2.597607135772705
20,0.7599999904632568,1.2766209840774536,1.2766209840774536,0.001,0.14341463148593903,2.596421003341675,2.596421003341675
21,0.7599999904632568,1.2463068962097168,1.2463068962097168,0.001,0.14341463148593903,2.595421314239502,2.595421314239502
22,0.7799999713897705,1.2164002656936646,1.2164002656936646,0.001,0.14341463148593903,2.594625949859619,2.594625949859619
23,0.7799999713897705,1.1870815753936768,1.1870815753936768,0.001,0.14341463148593903,2.594083786010742,2.594083786010742
24,0.7900000214576721,1.1582896709442139,1.1582896709442139,0.001,0.14341463148593903,2.593768835067749,2.593768835067749
25,0.7950000166893005,1.1297063827514648,1.1297063827514648,0.001,0.14341463148593903,2.593717336654663,2.593717336654663
26,0.8050000071525574,1.1012473106384277,1.1012473106384277,0.001,0.14341463148593903,2.593956708908081,2.593956708908081
27,0.8149999976158142,1.0728967189788818,1.0728967189788818,0.001,0.14341463148593903,2.5944650173187256,2.5944650173187256
28,0.8299999833106995,1.0445187091827393,1.0445187091827393,0.001,0.14341463148593903,2.595219135284424,2.595219135284424
29,0.8399999737739563,1.0165889263153076,1.0165889263153076,0.001,0.14341463148593903,2.5962443351745605,2.5962443351745605
30,0.8500000238418579,0.9892004132270813,0.9892004132270813,0.001,0.14341463148593903,2.5975112915039062,2.5975112915039062
31,0.8550000190734863,0.9624009728431702,0.9624009728431702,0.001,0.14341463148593903,2.598928928375244,2.598928928375244
32,0.8650000095367432,0.9356276988983154,0.9356276988983154,0.001,0.14341463148593903,2.6004934310913086,2.6004934310913086
33,0.8799999952316284,0.9089370965957642,0.9089370965957642,0.001,0.14341463148593903,2.6022894382476807,2.6022894382476807
34,0.8949999809265137,0.8828666806221008,0.8828666806221008,0.001,0.14341463148593903,2.604288339614868,2.604288339614868
35,0.9049999713897705,0.8571923971176147,0.8571923971176147,0.001,0.14341463148593903,2.606268882751465,2.606268882751465
36,0.9100000262260437,0.8328280448913574,0.8328280448913574,0.001,0.14341463148593903,2.6081182956695557,2.6081182956695557
37,0.9100000262260437,0.8099977970123291,0.8099977970123291,0.001,0.14341463148593903,2.6100597381591797,2.6100597381591797
38,0.9150000214576721,0.7890603542327881,0.7890603542327881,0.001,0.14341463148593903,2.6120765209198,2.6120765209198
39,0.9150000214576721,0.7664124369621277,0.7664124369621277,0.001,0.14341463148593903,2.614238977432251,2.614238977432251
40,0.9200000166893005,0.739444375038147,0.739444375038147,0.001,0.14341463148593903,2.6160364151000977,2.6160364151000977
41,0.925000011920929,0.7162042260169983,0.7162042260169983,0.001,0.14341463148593903,2.617532253265381,2.617532253265381
42,0.9300000071525574,0.6987822651863098,0.6987822651863098,0.001,0.14341463148593903,2.6190617084503174,2.6190617084503174
