epoch,accuracy,categorical_crossentropy,loss,lr,val_accuracy,val_categorical_crossentropy,val_loss
0,0.3166666626930237,1.1016634702682495,1.1016634702682495,0.001,0.3333333432674408,1.0892260074615479,1.0892260074615479
1,0.4333333373069763,1.0879817008972168,1.0879817008972168,0.001,0.3333333432674408,1.1443984508514404,1.1443984508514404
2,0.3333333432674408,1.147517442703247,1.147517442703247,0.001,0.5333333611488342,1.209797978401184,1.209797978401184
3,0.44999998807907104,1.2278685569763184,1.2278685569763184,0.001,0.3333333432674408,1.1072278022766113,1.1072278022766113
4,0.5333333611488342,1.1098670959472656,1.1098670959472656,0.001,0.44999998807907104,1.0798068046569824,1.0798068046569824
5,0.4833333194255829,1.0662732124328613,1.0662732124328613,0.001,0.3333333432674408,1.0984233617782593,1.0984233617782593
6,0.3333333432674408,1.0971448421478271,1.0971448421478271,0.001,0.3333333432674408,1.0998400449752808,1.0998400449752808
7,0.3333333432674408,1.099148154258728,1.099148154258728,0.001,0.3333333432674408,1.088818907737732,1.088818907737732
8,0.3333333432674408,1.089658260345459,1.089658260345459,0.001,0.3499999940395355,1.0814967155456543,1.0814967155456543
9,0.36666667461395264,1.0712854862213135,1.0712854862213135,0.001,0.46666666865348816,1.0797010660171509,1.0797010660171509
10,0.550000011920929,1.057900309562683,1.057900309562683,0.001,0.5333333611488342,1.081413745880127,1.081413745880127
11,0.5333333611488342,1.0740803480148315,1.0740803480148315,0.001,0.6333333253860474,1.0766061544418335,1.0766061544418335
12,0.6000000238418579,1.0666146278381348,1.0666146278381348,0.001,0.6499999761581421,1.0572506189346313,1.0572506189346313
13,0.6333333253860474,1.042389988899231,1.042389988899231,0.001,0.6333333253860474,1.0367023944854736,1.0367023944854736
14,0.6499999761581421,1.016801357269287,1.016801357269287,0.001,0.44999998807907104,1.0291153192520142,1.0291153192520142
15,0.44999998807907104,1.0060867071151733,1.0060867071151733,0.001,0.4833333194255829,1.0020499229431152,1.0020499229431152
16,0.5666666626930237,0.971115231513977,0.971115231513977,0.001,0.6333333253860474,0.9674681425094604,0.9674681425094604
17,0.6166666746139526,0.9480711817741394,0.9480711817741394,0.001,0.6166666746139526,0.9433048367500305,0.9433048367500305
18,0.6333333253860474,0.9207525849342346,0.9207525849342346,0.001,0.5,0.9078148007392883,0.9078148007392883
19,0.6833333373069763,0.866986870765686,0.866986870765686,0.001,0.5666666626930237,0.8559852838516235,0.8559852838516235
20,0.7166666388511658,0.7750871777534485,0.7750871777534485,0.001,0.6166666746139526,0.8580130338668823,0.8580130338668823
21,0.6666666865348816,0.7666540741920471,0.7666540741920471,0.001,0.5166666507720947,0.8517780303955078,0.8517780303955078
22,0.6333333253860474,0.7930260896682739,0.7930260896682739,0.001,0.5166666507720947,0.8604081273078918,0.8604081273078918
23,0.6166666746139526,0.7473868131637573,0.7473868131637573,0.001,0.6499999761581421,0.7496527433395386,0.7496527433395386
24,0.6499999761581421,0.7103442549705505,0.7103442549705505,0.001,0.46666666865348816,0.9411979913711548,0.9411979913711548
25,0.6333333253860474,0.7061123251914978,0.7061123251914978,0.001,0.5,1.0747705698013306,1.0747705698013306
26,0.6000000238418579,0.9145322442054749,0.9145322442054749,0.001,0.6333333253860474,0.9269891381263733,0.9269891381263733
27,0.6000000238418579,0.926368772983551,0.926368772983551,0.001,0.5333333611488342,0.9532140493392944,0.9532140493392944
28,0.6499999761581421,0.8330352306365967,0.8330352306365967,0.001,0.5,0.9629641175270081,0.9629641175270081
29,0.5666666626930237,0.90342116355896,0.90342116355896,0.001,0.550000011920929,0.7275072932243347,0.7275072932243347
30,0.6833333373069763,0.5631099939346313,0.5631099939346313,0.001,0.6000000238418579,0.753991961479187,0.753991961479187
31,0.6666666865348816,0.6792542934417725,0.6792542934417725,0.001,0.6333333253860474,0.7424857020378113,0.7424857020378113
32,0.6833333373069763,0.648647665977478,0.648647665977478,0.001,0.6666666865348816,0.6132189631462097,0.6132189631462097
33,0.6666666865348816,0.5215986371040344,0.5215986371040344,0.001,0.5,0.7994028925895691,0.7994028925895691
34,0.6166666746139526,0.6783416867256165,0.6783416867256165,0.001,0.8166666626930237,0.7060001492500305,0.7060001492500305
35,0.8333333134651184,0.556780219078064,0.556780219078064,0.001,0.5166666507720947,0.7795679569244385,0.7795679569244385
36,0.6333333253860474,0.6350934505462646,0.6350934505462646,0.001,0.6333333253860474,0.6482849717140198,0.6482849717140198
37,0.7333333492279053,0.5899984240531921,0.5899984240531921,0.001,0.6499999761581421,0.600263237953186,0.600263237953186
38,0.75,0.5206623077392578,0.5206623077392578,0.001,0.6166666746139526,0.6772224307060242,0.6772224307060242
39,0.6333333253860474,0.6671968698501587,0.6671968698501587,0.001,0.8999999761581421,0.6014291644096375,0.6014291644096375
