epoch,accuracy,categorical_crossentropy,loss,lr,val_accuracy,val_categorical_crossentropy,val_loss
0,0.5,0.6983545422554016,0.6983545422554016,0.001,0.5,0.6931257247924805,0.6931257247924805
1,1.0,0.45148688554763794,0.45148688554763794,0.001,0.5,0.6929996013641357,0.6929996013641357
2,1.0,0.21950483322143555,0.21950483322143555,0.001,0.5,0.6928950548171997,0.6928950548171997
3,1.0,0.08370788395404816,0.08370788395404816,0.001,0.5,0.692871630191803,0.692871630191803
4,1.0,0.02763935551047325,0.02763935551047325,0.001,0.5,0.692998468875885,0.692998468875885
5,1.0,0.011730030179023743,0.011730030179023743,0.001,0.5,0.6932875514030457,0.6932875514030457
6,1.0,0.007142918650060892,0.007142918650060892,0.001,0.5,0.6937611699104309,0.6937611699104309
7,1.0,0.004210623912513256,0.004210623912513256,0.001,0.5,0.6945472359657288,0.6945472359657288
8,1.0,0.00300656002946198,0.00300656002946198,0.001,0.5,0.6958523988723755,0.6958523988723755
9,1.0,0.0025276453234255314,0.0025276453234255314,0.001,0.5,0.6979728937149048,0.6979728937149048
10,1.0,0.002080340404063463,0.002080340404063463,0.001,0.5,0.7012637257575989,0.7012637257575989
11,1.0,0.001690124743618071,0.001690124743618071,0.001,0.5,0.7060161232948303,0.7060161232948303
12,1.0,0.0014465795829892159,0.0014465795829892159,0.001,0.5,0.7124764919281006,0.7124764919281006
13,1.0,0.0013039016630500555,0.0013039016630500555,0.001,0.5,0.7208829522132874,0.7208829522132874
14,1.0,0.0011900996323674917,0.0011900996323674917,0.001,0.5,0.7314113974571228,0.7314113974571228
15,1.0,0.0010581297101452947,0.0010581297101452947,0.001,0.5,0.7441826462745667,0.7441826462745667
16,1.0,0.0009167425450868905,0.0009167425450868905,0.001,0.5,0.7593082785606384,0.7593082785606384
17,1.0,0.000788936042226851,0.000788936042226851,0.001,0.5,0.7767877578735352,0.7767877578735352
18,1.0,0.0006903104367665946,0.0006903104367665946,0.001,0.5,0.7966013550758362,0.7966013550758362
19,1.0,0.0006211659638211131,0.0006211659638211131,0.001,0.5,0.8187187314033508,0.8187187314033508
20,1.0,0.0005710308323614299,0.0005710308323614299,0.001,0.5,0.8430534601211548,0.8430534601211548
21,1.0,0.000527433876413852,0.000527433876413852,0.001,0.5,0.8695744276046753,0.8695744276046753
22,1.0,0.00048599718138575554,0.00048599718138575554,0.001,0.5,0.8982120752334595,0.8982120752334595
23,1.0,0.00044647426693700254,0.00044647426693700254,0.001,0.5,0.9287658929824829,0.9287658929824829
24,1.0,0.0004097348137293011,0.0004097348137293011,0.001,0.5,0.9611168503761292,0.9611168503761292
25,1.0,0.0003751611802726984,0.0003751611802726984,0.001,0.5,0.9950947165489197,0.9950947165489197
26,1.0,0.0003437158011365682,0.0003437158011365682,0.001,0.5,1.0304763317108154,1.0304763317108154
27,1.0,0.0003157178871333599,0.0003157178871333599,0.001,0.5,1.0672672986984253,1.0672672986984253
28,1.0,0.0002918067330028862,0.0002918067330028862,0.001,0.5,1.1050528287887573,1.1050528287887573
29,1.0,0.0002713043650146574,0.0002713043650146574,0.001,0.5,1.1438744068145752,1.1438744068145752
30,1.0,0.00025468130479566753,0.00025468130479566753,0.001,0.5,1.1834651231765747,1.1834651231765747
31,1.0,0.0002406799903837964,0.0002406799903837964,0.001,0.5,1.2238343954086304,1.2238343954086304
32,1.0,0.00022893669665791094,0.00022893669665791094,0.001,0.5,1.2646576166152954,1.2646576166152954
33,1.0,0.0002185157936764881,0.0002185157936764881,0.001,0.5,1.3060094118118286,1.3060094118118286
34,1.0,0.00020870819571428,0.00020870819571428,0.001,0.5,1.3476636409759521,1.3476636409759521
35,1.0,0.00019918028556276113,0.00019918028556276113,0.001,0.5,1.3896905183792114,1.3896905183792114
36,1.0,0.00018966996867675334,0.00018966996867675334,0.001,0.5,1.431808352470398,1.431808352470398
37,1.0,0.0001801594189601019,0.0001801594189601019,0.001,0.5,1.4741400480270386,1.4741400480270386
38,1.0,0.00017057720106095076,0.00017057720106095076,0.001,0.5,1.516769528388977,1.516769528388977
39,1.0,0.00016127488925121725,0.00016127488925121725,0.001,0.5,1.5592148303985596,1.5592148303985596
40,1.0,0.00015241940855048597,0.00015241940855048597,0.001,0.5,1.601633071899414,1.601633071899414
41,1.0,0.00014429088332690299,0.00014429088332690299,0.001,0.5,1.6441494226455688,1.6441494226455688
42,1.0,0.0001368773664580658,0.0001368773664580658,0.001,0.5,1.6864759922027588,1.6864759922027588
43,1.0,0.00013028024113737047,0.00013028024113737047,0.001,0.5,1.7288058996200562,1.7288058996200562
44,1.0,0.0001245293242391199,0.0001245293242391199,0.001,0.5,1.7708207368850708,1.7708207368850708
45,1.0,0.00011958288087043911,0.00011958288087043911,0.001,0.5,1.8128517866134644,1.8128517866134644
46,1.0,0.00011532175267348066,0.00011532175267348066,0.001,0.5,1.8543298244476318,1.8543298244476318
47,1.0,0.00011162080045323819,0.00011162080045323819,0.001,0.5,1.8956905603408813,1.8956905603408813
48,1.0,0.00010840254981303588,0.00010840254981303588,0.001,0.5,1.9366556406021118,1.9366556406021118
49,1.0,0.00010551205923547968,0.00010551205923547968,0.001,0.5,1.9774060249328613,1.9774060249328613
50,1.0,0.00010292549995938316,0.00010292549995938316,0.001,0.5,2.0178656578063965,2.0178656578063965
51,1.0,0.00010054752056021243,0.00010054752056021243,0.001,0.5,2.058006763458252,2.058006763458252
52,1.0,9.830659109866247e-05,9.830659109866247e-05,0.001,0.5,2.0978128910064697,2.0978128910064697
53,1.0,9.613719157641754e-05,9.613719157641754e-05,0.0005,0.5,2.137080430984497,2.137080430984497
54,1.0,9.505249181529507e-05,9.505249181529507e-05,0.0005,0.5,2.1759934425354004,2.1759934425354004
55,1.0,9.400355338584632e-05,9.400355338584632e-05,0.0005,0.5,2.2145426273345947,2.2145426273345947
56,1.0,9.294271148974076e-05,9.294271148974076e-05,0.0005,0.5,2.252685785293579,2.252685785293579
57,1.0,9.185801900457591e-05,9.185801900457591e-05,0.0005,0.5,2.290529727935791,2.290529727935791
58,1.0,9.082101314561442e-05,9.082101314561442e-05,0.0005,0.5,2.327953815460205,2.327953815460205
59,1.0,8.973632066044956e-05,8.973632066044956e-05,0.0005,0.5,2.365143060684204,2.365143060684204
60,1.0,8.868740405887365e-05,8.868740405887365e-05,0.0005,0.5,2.402008533477783,2.402008533477783
61,1.0,8.766232349444181e-05,8.766232349444181e-05,0.0005,0.5,2.4383115768432617,2.4383115768432617
62,1.0,8.669683302287012e-05,8.669683302287012e-05,0.0005,0.5,2.4742941856384277,2.4742941856384277
63,1.0,8.572537626605481e-05,8.572537626605481e-05,0.0005,0.5,2.5101444721221924,2.5101444721221924
64,1.0,8.482544944854453e-05,8.482544944854453e-05,0.0005,0.5,2.545456647872925,2.545456647872925
65,1.0,8.395530312554911e-05,8.395530312554911e-05,0.0005,0.5,2.58056378364563,2.58056378364563
66,1.0,8.312688441947103e-05,8.312688441947103e-05,0.0005,0.5,2.6151602268218994,2.6151602268218994
67,1.0,8.23163500172086e-05,8.23163500172086e-05,0.0005,0.5,2.649585723876953,2.649585723876953
68,1.0,8.152367809088901e-05,8.152367809088901e-05,0.0005,0.5,2.683730125427246,2.683730125427246
69,1.0,8.07191026979126e-05,8.07191026979126e-05,0.0005,0.5,2.717564821243286,2.717564821243286
70,1.0,8.000390516826883e-05,8.000390516826883e-05,0.0005,0.5,2.7509963512420654,2.7509963512420654
71,1.0,7.928871491458267e-05,7.928871491458267e-05,0.0005,0.5,2.7841289043426514,2.7841289043426514
72,1.0,7.862120401114225e-05,7.862120401114225e-05,0.0005,0.5,2.8169472217559814,2.8169472217559814
73,1.0,7.796561112627387e-05,7.796561112627387e-05,0.0005,0.5,2.8494372367858887,2.8494372367858887
74,1.0,7.733386155450717e-05,7.733386155450717e-05,0.0005,0.5,2.8819124698638916,2.8819124698638916
75,1.0,7.670805644011125e-05,7.670805644011125e-05,0.0005,0.5,2.9137308597564697,2.9137308597564697
76,1.0,7.610014290548861e-05,7.610014290548861e-05,0.0005,0.5,2.94539737701416,2.94539737701416
77,1.0,7.5504147389438e-05,7.5504147389438e-05,0.0005,0.5,2.9767696857452393,2.9767696857452393
78,1.0,7.492006989195943e-05,7.492006989195943e-05,0.0005,0.5,3.00801157951355,3.00801157951355
79,1.0,7.433002610923722e-05,7.433002610923722e-05,0.0005,0.5,3.038865804672241,3.038865804672241
80,1.0,7.37638256396167e-05,7.37638256396167e-05,0.0005,0.5,3.069554328918457,3.069554328918457
81,1.0,7.32393455109559e-05,7.32393455109559e-05,0.0005,0.5,3.0999138355255127,3.0999138355255127
82,1.0,7.266718603204936e-05,7.266718603204936e-05,0.0005,0.5,3.1299285888671875,3.1299285888671875
83,1.0,7.213675417006016e-05,7.213675417006016e-05,0.0005,0.5,3.1597139835357666,3.1597139835357666
84,1.0,7.163611007854342e-05,7.163611007854342e-05,0.0005,0.5,3.189319610595703,3.189319610595703
85,1.0,7.109374564606696e-05,7.109374564606696e-05,0.0005,0.5,3.2185213565826416,3.2185213565826416
86,1.0,7.05752318026498e-05,7.05752318026498e-05,0.0005,0.5,3.2475337982177734,3.2475337982177734
87,1.0,7.009842374827713e-05,7.009842374827713e-05,0.0005,0.5,3.276315689086914,3.276315689086914
88,1.0,6.960373866604641e-05,6.960373866604641e-05,0.0005,0.5,3.304906129837036,3.304906129837036
89,1.0,6.910310185048729e-05,6.910310185048729e-05,0.0005,0.5,3.333467721939087,3.333467721939087
90,1.0,6.862033478682861e-05,6.862033478682861e-05,0.0005,0.5,3.3614234924316406,3.3614234924316406
91,1.0,6.814949301769957e-05,6.814949301769957e-05,0.0005,0.5,3.3892693519592285,3.3892693519592285
92,1.0,6.76667332299985e-05,6.76667332299985e-05,0.0005,0.5,3.4169278144836426,3.4169278144836426
93,1.0,6.720781675539911e-05,6.720781675539911e-05,0.0005,0.5,3.4442172050476074,3.4442172050476074
94,1.0,6.674292671959847e-05,6.674292671959847e-05,0.0005,0.5,3.4712531566619873,3.4712531566619873
95,1.0,6.630188727285713e-05,6.630188727285713e-05,0.0005,0.5,3.4981164932250977,3.4981164932250977
96,1.0,6.581912020919845e-05,6.581912020919845e-05,0.0005,0.5,3.524792194366455,3.524792194366455
97,1.0,6.538999878102913e-05,6.538999878102913e-05,0.0005,0.5,3.551236391067505,3.551236391067505
98,1.0,6.493107503047213e-05,6.493107503047213e-05,0.0005,0.5,3.5776479244232178,3.5776479244232178
99,1.0,6.448406929848716e-05,6.448406929848716e-05,0.0005,0.5,3.603522777557373,3.603522777557373
100,1.0,6.406686588888988e-05,6.406686588888988e-05,0.0005,0.5,3.629175901412964,3.629175901412964
101,1.0,6.365562148857862e-05,6.365562148857862e-05,0.0005,0.5,3.654660940170288,3.654660940170288
102,1.0,6.323245179373771e-05,6.323245179373771e-05,0.0005,0.5,3.6798746585845947,3.6798746585845947
103,1.0,6.28033303655684e-05,6.28033303655684e-05,0.00025,0.5,3.7052106857299805,3.7052106857299805
104,1.0,6.261261296458542e-05,6.261261296458542e-05,0.00025,0.5,3.730379343032837,3.730379343032837
105,1.0,6.240401125978678e-05,6.240401125978678e-05,0.00025,0.5,3.7552645206451416,3.7552645206451416
106,1.0,6.217156624188647e-05,6.217156624188647e-05,0.00025,0.5,3.7797563076019287,3.7797563076019287
107,1.0,6.198680785018951e-05,6.198680785018951e-05,0.00025,0.5,3.8042514324188232,3.8042514324188232
108,1.0,6.177223986014724e-05,6.177223986014724e-05,0.00025,0.5,3.8284671306610107,3.8284671306610107
