epoch,accuracy,categorical_crossentropy,loss,lr,val_accuracy,val_categorical_crossentropy,val_loss
0,0.033707864582538605,3.306748867034912,3.306748867034912,0.001,0.05642633140087128,3.2101056575775146,3.2101056575775146
1,0.2659175992012024,2.8156380653381348,2.8156380653381348,0.001,0.08620689809322357,3.2069687843322754,3.2069687843322754
2,0.2659175992012024,2.593502998352051,2.593502998352051,0.001,0.08620689809322357,3.203256607055664,3.203256607055664
3,0.29588013887405396,2.4496984481811523,2.4496984481811523,0.001,0.08620689809322357,3.198694944381714,3.198694944381714
4,0.3408239781856537,2.3530099391937256,2.3530099391937256,0.001,0.15360501408576965,3.1929781436920166,3.1929781436920166
5,0.352059930562973,2.280238151550293,2.280238151550293,0.001,0.21943573653697968,3.1864242553710938,3.1864242553710938
6,0.37827715277671814,2.217633008956909,2.217633008956909,0.001,0.21943573653697968,3.1796979904174805,3.1796979904174805
7,0.3895131051540375,2.160532236099243,2.160532236099243,0.001,0.21943573653697968,3.1729342937469482,3.1729342937469482
8,0.3932584226131439,2.105062484741211,2.105062484741211,0.001,0.21943573653697968,3.1663341522216797,3.1663341522216797
9,0.40449437499046326,2.051910877227783,2.051910877227783,0.001,0.21943573653697968,3.160210609436035,3.160210609436035
10,0.42696627974510193,2.00130033493042,2.00130033493042,0.001,0.21943573653697968,3.1542041301727295,3.1542041301727295
11,0.4419475793838501,1.9529460668563843,1.9529460668563843,0.001,0.21943573653697968,3.1479971408843994,3.1479971408843994
12,0.45318353176116943,1.9065313339233398,1.9065313339233398,0.001,0.21943573653697968,3.1419100761413574,3.1419100761413574
13,0.47191011905670166,1.86237633228302,1.86237633228302,0.001,0.21943573653697968,3.1352181434631348,3.1352181434631348
14,0.47191011905670166,1.8289085626602173,1.8289085626602173,0.001,0.21943573653697968,3.129310131072998,3.129310131072998
15,0.4756554365158081,1.7929452657699585,1.7929452657699585,0.001,0.21943573653697968,3.123410701751709,3.123410701751709
16,0.5018726587295532,1.7505801916122437,1.7505801916122437,0.001,0.21943573653697968,3.116605043411255,3.116605043411255
17,0.516853928565979,1.7044713497161865,1.7044713497161865,0.001,0.21943573653697968,3.11008620262146,3.11008620262146
18,0.5205992460250854,1.663118600845337,1.663118600845337,0.001,0.21943573653697968,3.104196310043335,3.104196310043335
19,0.5730336904525757,1.611786961555481,1.611786961555481,0.001,0.21943573653697968,3.0978000164031982,3.0978000164031982
20,0.584269642829895,1.5876206159591675,1.5876206159591675,0.001,0.21943573653697968,3.089374542236328,3.089374542236328
21,0.5730336904525757,1.5450001955032349,1.5450001955032349,0.001,0.21943573653697968,3.0817081928253174,3.0817081928253174
22,0.5955055952072144,1.5013421773910522,1.5013421773910522,0.001,0.21943573653697968,3.0735867023468018,3.0735867023468018
23,0.6104868650436401,1.4586451053619385,1.4586451053619385,0.001,0.21943573653697968,3.066105842590332,3.066105842590332
24,0.63670414686203,1.41948401927948,1.41948401927948,0.001,0.21943573653697968,3.0568645000457764,3.0568645000457764
25,0.6292135119438171,1.401088833808899,1.401088833808899,0.001,0.21943573653697968,3.0521037578582764,3.0521037578582764
26,0.6104868650436401,1.4134302139282227,1.4134302139282227,0.001,0.21943573653697968,3.0402798652648926,3.0402798652648926
27,0.5992509126663208,1.4089536666870117,1.4089536666870117,0.001,0.21943573653697968,3.0345144271850586,3.0345144271850586
28,0.6441947817802429,1.3334287405014038,1.3334287405014038,0.001,0.21943573653697968,3.0285890102386475,3.0285890102386475
29,0.6779026389122009,1.305869698524475,1.305869698524475,0.001,0.21943573653697968,3.020205020904541,3.020205020904541
30,0.6629213690757751,1.275855302810669,1.275855302810669,0.001,0.21943573653697968,3.0144174098968506,3.0144174098968506
31,0.6779026389122009,1.276218295097351,1.276218295097351,0.001,0.21943573653697968,3.009455919265747,3.009455919265747
32,0.6741573214530945,1.2442858219146729,1.2442858219146729,0.001,0.21943573653697968,3.002462863922119,3.002462863922119
33,0.7191011309623718,1.1921343803405762,1.1921343803405762,0.001,0.21943573653697968,2.9930849075317383,2.9930849075317383
34,0.7265917658805847,1.1527503728866577,1.1527503728866577,0.001,0.21943573653697968,2.986626148223877,2.986626148223877
35,0.6853932738304138,1.1282029151916504,1.1282029151916504,0.001,0.21943573653697968,2.9850833415985107,2.9850833415985107
36,0.7565543055534363,1.0888657569885254,1.0888657569885254,0.001,0.21943573653697968,2.982090950012207,2.982090950012207
37,0.7752808928489685,1.068105936050415,1.068105936050415,0.001,0.21943573653697968,2.974775791168213,2.974775791168213
38,0.7453183531761169,1.0185353755950928,1.0185353755950928,0.001,0.21943573653697968,2.9691805839538574,2.9691805839538574
39,0.7640449404716492,0.9913750886917114,0.9913750886917114,0.001,0.21943573653697968,2.9653944969177246,2.9653944969177246
40,0.7865168452262878,0.9571045637130737,0.9571045637130737,0.001,0.21943573653697968,2.9610486030578613,2.9610486030578613
